,title,year,rated,released,runtime,genre,director,actors,plot,awards
36,Batman: The Movie,1966,PG,30 Jul 1966,105 min,"Action, Adventure, Comedy",Leslie H. Martinson,"Adam West, Burt Ward, Lee Meriwether",The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,1 win
37,The Angry Birds Movie 2,2019,PG,14 Aug 2019,97 min,"Animation, Action, Adventure","Thurop Van Orman, John Rice","Jason Sudeikis, Josh Gad, Leslie Jones",The flightless birds and scheming green pigs take their feud to the next level.,1 win & 3 nominations
38,Captain Underpants: The First Epic Movie,2017,PG,02 Jun 2017,89 min,"Animation, Action, Adventure",David Soren,"Kevin Hart, Thomas Middleditch, Ed Helms","Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.",3 wins & 15 nominations
39,The Lego Ninjago Movie,2017,PG,22 Sep 2017,101 min,"Animation, Action, Adventure","Charlie Bean, Paul Fisher, Bob Logan","Jackie Chan, Dave Franco, Fred Armisen","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",7 nominations
40,DuckTales the Movie: Treasure of the Lost Lamp,1990,G,03 Aug 1990,74 min,"Animation, Adventure, Comedy",Bob Hathcock,"Alan Young, Christopher Lloyd, Terence McGovern","Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp.",1 nomination
41,Man with a Movie Camera,1929,Not Rated,12 May 1929,68 min,"Documentary, Music",Dziga Vertov,"Mikhail Kaufman, Elizaveta Svilova","A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",1 win & 1 nomination
42,Deadwood: The Movie,2019,TV-MA,31 May 2019,110 min,"Drama, Western",Daniel Minahan,"Timothy Olyphant, Ian McShane, Molly Parker","As the residents of Deadwood gather to commemorate Dakota's statehood in 1889, saloon owner Al Swearengen and Marshal Seth Bullock clash with Senator George Hearst.",Nominated for 8 Primetime Emmys. 3 wins & 36 nominations total
43,The Brady Bunch Movie,1995,PG-13,17 Feb 1995,90 min,Comedy,Betty Thomas,"Shelley Long, Gary Cole, Christine Taylor","The original 1970s TV family is now placed in the 1990s, where they're even more square and out of place than ever.",3 nominations
44,Pokémon the Movie 2000,1999,G,21 Jul 2000,99 min,"Animation, Action, Adventure",Kunihiko Yuyama,"Veronica Taylor, Rica Matsumoto, Ikue Ôtani","Ash Ketchum must gather the three spheres of fire, ice and lightning in order to restore balance to the Orange Islands.",2 nominations
45,Indie Game: The Movie,2012,Not Rated,15 Sep 2012,103 min,"Documentary, Drama","Lisanne Pajot, James Swirsky","Jonathan Blow, Brandon Boyer, Renaud Bédard","A documentary that follows the journeys of indie game developers as they create games and release those works, and themselves, to the world.",3 wins & 6 nominations
46,The SpongeBob Movie: Sponge on the Run,2020,PG,04 Mar 2021,91 min,"Animation, Adventure, Comedy",Tim Hill,"Tim Hill, Clancy Brown, Bill Fagerbakke","After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.",3 nominations
47,The Bob's Burgers Movie,2022,PG-13,27 May 2022,102 min,"Animation, Adventure, Comedy","Loren Bouchard, Bernard Derriman","H. Jon Benjamin, Kristen Schaal, Dan Mintz","When a sinkhole in front of Bob's Burgers threatens the Belchers' plans for a successful summer, Bob and Linda try to keep their business going, while the kids attempt to save the restaurant by solving a mystery.",2 nominations
48,The Rugrats Movie,1998,G,20 Nov 1998,79 min,"Animation, Adventure, Comedy","Igor Kovalyov, Norton Virgien","Elizabeth Daily, Christine Cavanaugh, Kath Soucie",The babies gets lost in the forest after Tommy Pickles gets a new baby brother.,2 wins & 6 nominations
49,Wizards of Waverly Place: The Movie,2009,TV-G,28 Aug 2009,94 min,"Action, Adventure, Comedy",Lev L. Spiro,"Selena Gomez, David Henrie, Jake T. Austin",A young wizard conjures a spell that puts her family in jeopardy.,Won 1 Primetime Emmy. 3 wins & 4 nominations total
50,The Tigger Movie,2000,G,11 Feb 2000,77 min,"Animation, Adventure, Comedy",Jun Falkenstein,"Jim Cummings, Nikita Hopkins, Ken Sansom",Tigger goes looking through the hundred-acre-wood to find his family.,4 nominations
51,The Kentucky Fried Movie,1977,R,04 Nov 1978,83 min,Comedy,John Landis,"Evan C. Kim, Bong Soo Han, Bill Bixby",The daily programming of a fictional local TV channel presented as a series of highly irreverent skits.,N/A
52,Tales from the Darkside: The Movie,1990,R,04 May 1990,93 min,"Comedy, Fantasy, Horror",John Harrison,"Debbie Harry, Matthew Lawrence, Christian Slater","To stall a witch plotting to eat him, a boy reads her horror tales dealing with a collegian's resurrection of a mummy, a murderous cat, and an artist's pact with a gargoyle.",1 win
53,American Movie,1999,R,13 Apr 2000,107 min,"Documentary, Comedy",Chris Smith,"Mark Borchardt, Mike Schank, Tom Schimmels",Documentary about an aspiring filmmaker's attempts to finance his dream project by finally completing the low-budget horror film he abandoned years before.,6 wins & 6 nominations
54,Mystery Science Theater 3000: The Movie,1996,PG-13,19 Apr 1996,73 min,"Comedy, Drama, Fantasy",Jim Mallon,"Trace Beaulieu, Michael J. Nelson, Jim Mallon",Mike Nelson and his robot companions watch and give their comments about This Island Earth (1955).,1 nomination
55,Silent Movie,1976,Passed,16 Jun 1976,87 min,Comedy,Mel Brooks,"Mel Brooks, Marty Feldman, Dom DeLuise",A film director and his strange friends struggle to produce the first major silent feature film in forty years.,1 win & 6 nominations
56,The Last: Naruto the Movie,2014,TV-14,06 Oct 2015,112 min,"Animation, Action, Adventure",Tsuneo Kobayashi,"Junko Takeuchi, Nana Mizuki, Jun Fukuyama","Hinata Hyuga's younger sister has been kidnapped, so Naruto must do what he can to save her.",3 nominations
